Date,Booster,LaunchSite,PayloadMass,Orbit,LandingOutcome
~2026,Falcon Heavy B5,"Kennedy, LC‑39A",USSF-70[438][439],GSO,USSF
2026[625],F9 B5,TBA (FL),Arabsat 7A[120][626],GTO,Arabsat
2026[627],F9 B5,TBA (FL),Mission Robotic Vehicle (MRV) × 1[628]Mission Extension Pod (MEP) × 3,GTO,Northrop Grumman
2026[630],F9 B5,TBA (FL),O3b mPOWER 12 & 13,MEO,SES
2026[631],Falcon Heavy B5,"Kennedy, LC‑39A",Astrobotic Technology Lunar Lander[632],TLI,Astrobotic Technology
2026 and later(14 flights),F9 B5,TBD,Telesat Lightspeed × 18,LEO,Telesat
2026–2030,F9 B5,TBA (FL),3 more launches (Crew-12 through Crew-14)[634],LEO (ISS),NASA (ISS)
January 2027,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 2 Transport layer F[438][439],Polar LEO,SDA
February 2027,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 2 Transport layer G[438][439],Polar LEO,SDA
March 2027,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 2 Transport layer H[438][439],Polar LEO,SDA
Q1 2027,F9 B5,TBD,Transporter-19 (smallsat rideshare)[271],SSO,Various
April 2027,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 2 Transport layer I[438][439],Polar LEO,SDA
May 2027,F9 B5,"Vandenberg, SLC‑4E",SDA Tranche 2 Transport layer J[438][439],Polar LEO,SDA
May 2027[636],Falcon Heavy B5,"Kennedy, LC‑39A",Nancy Grace Roman Space Telescope[637],Sun–Earth L2,NASA
Q2 2027,F9 B5,TBD,Transporter-20 (smallsat rideshare)[271],SSO,Various
August 2027,F9 B5,TBA (FL),COSI[638],LEO,NASA
Q4 2027,F9 B5,TBD,Transporter-21 (smallsat rideshare)[271],SSO,Various
H2 2027,F9 B5,TBA (FL),GEO-KOMPSAT-3[639],GTO,KASA
2027,F9 B5,"Vandenberg, SLC‑4E",NROL-96[640],Classified,NRO
2027,Falcon Heavy B5,"Kennedy, LC‑39A",NROL-97[640],Classified,NRO
2027,F9 B5,"Vandenberg, SLC‑4E",NROL-157[640],Classified,NRO
2027,Falcon Heavy B5,"Kennedy, LC‑39A",USSF-186,TBA,USSF
2027,F9 B5,TBA (FL),USSF-234,TBA,USSF
2027,Falcon Heavy B5,"Kennedy, LC‑39A",USSF-174,TBA,USSF
2027,Falcon Heavy B5,"Kennedy, LC‑39A",USSF-15 (GPS IIIF-3),MEO,USSF
H2 2027[641],F9 B5,TBA (FL),Al Yah 4[642],GTO,Yahsat
2027,F9 B5,"Vandenberg, SLC‑4E",JPSS-4[643],SSO,NOAA
2027[644],F9 B5,TBA (FL),Thaicom-10[645],GTO,Thaicom
2027[646],Falcon Heavy B5,"Kennedy, LC‑39A",Power and Propulsion Element (PPE)Habitation and Logistics Outpost (HALO)[647],TLI,NASA (Artemis)
2027[648],F9 B5,TBA,IM-4,TLI,NASA (CLPS)Intuitive Machines
"July 5, 2028[649]",Falcon Heavy B5,"Kennedy, LC‑39A",Dragonfly,,NASA (New Frontiers Program)
2028[651],F9 B5,TBA (FL),NEO Surveyor[652],Sun–Earth L1,NASA
h2 2028[641],F9 B5,TBA (FL),Al Yah 5[642],GTO,Yahsat
2028[631][654],Falcon Heavy B5,"Kennedy, LC‑39A",GLS-1 (Dragon XL),TLI,NASA (Gateway Logistics Services)
July 2029[657],F9 B5,TBD,"GRACE-C1, C2[658]",Polar LEO,NASA / DLR
2029[631],Falcon Heavy B5,"Kennedy, LC‑39A",GLS-2 (Dragon XL)[659],TLI,NASA (Gateway Logistics Services)
TBD,F9 B5,TBD,CAS500-4[660] Likely Rideshare,SSO,Korea Aerospace Industries
